nucleus,particle,orbital,label,value,gap_edge,,,,
16O,proton,0d3/2,shift,4.4,,,,,
16O,proton,1s1/2,shift,-0.11,,,,,
16O,proton,0d5/2,shift,-0.6,2,,,,
16O,proton,0p1/2,shift,-12.13,1,,,,
16O,proton,0p3/2,shift,-18.45,,,,,
16O,neutron,0d3/2,shift,0.94,,,,,
16O,neutron,1s1/2,shift,-3.27,,,,,
16O,neutron,0d5/2,shift,-4.14,2,,,,
16O,neutron,0p1/2,shift,-15.66,1,,,,
16O,neutron,0p3/2,shift,-21.84,,,,,
40Ca,proton,0f5/2,shift,4.6,,,,,
40Ca,proton,1p1/2,shift,2.38,,,,,
40Ca,proton,1p3/2,shift,0.63,,,,,
40Ca,proton,0f7/2,shift,-1.09,2,,,,
40Ca,proton,0d3/2,shift,-8.33,1,,,,
40Ca,proton,1s1/2,shift,-10.85,,,,,
40Ca,proton,0d5/2,shift,-13.73,,,,,
40Ca,neutron,0f5/2,shift,-2.65,,,,,
40Ca,neutron,1p1/2,shift,-4.42,,,,,
40Ca,neutron,1p3/2,shift,-6.42,,,,,
40Ca,neutron,0f7/2,shift,-8.36,2,,,,
40Ca,neutron,0d3/2,shift,-15.64,1,,,,
40Ca,neutron,1s1/2,shift,-18.11,,,,,
40Ca,neutron,0d5/2,shift,-21.27,,,,,
56Ni,proton,0g9/2,shift,2.77,,,,,
56Ni,proton,1p1/2,shift,0.37,,,,,
56Ni,proton,0f5/2,shift,0.29,,,,,
56Ni,proton,1p3/2,shift,-0.74,2,,,,
56Ni,proton,0f7/2,shift,-7.16,1,,,,
56Ni,proton,0d3/2,shift,-10.08,,,,,
56Ni,proton,1s1/2,shift,-10.72,,,,,
56Ni,neutron,0g9/2,shift,-6.55,,,,,
56Ni,neutron,1p1/2,shift,-9.14,,,,,
56Ni,neutron,0f5/2,shift,-9.48,,,,,
56Ni,neutron,1p3/2,shift,-10.25,2,,,,
56Ni,neutron,0f7/2,shift,-16.65,1,,,,
56Ni,neutron,0d3/2,shift,-19.84,,,,,
56Ni,neutron,1s1/2,shift,-20.4,,,,,
100Sn,proton,1d3/2,shift,5.58,,,,,
100Sn,proton,2s1/2,shift,5.48,,,,,
100Sn,proton,0g7/2,shift,3.93,,,,,
100Sn,proton,1d5/2,shift,3.03,2,,,,
100Sn,proton,0g9/2,shift,-2.92,1,,,,
100Sn,proton,1p1/2,shift,-3.53,,,,,
100Sn,proton,1p3/2,shift,-6.38,,,,,
